,Unnamed: 0,word,sense_index,name,lexname,pos,definition,examples,semcor_examples
0,0,vroom,0,vroom.n.01,noun.event,n,the roaring sound made by a motor that is running at high speed,,[]
1,1,vroom,1,vroom.v.01,verb.communication,v,"make a loud, roaring sound, as of a car engine, while moving",,[]
2,0,duck,0,duck.n.01,noun.animal,n,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,,"If you need a Day off to calm down, duck over to the Muslim Paradise and take it."
3,1,duck,1,duck.n.02,noun.quantity,n,(cricket) a score of nothing by a batsman,,[]
4,2,duck,2,duck.n.03,noun.food,n,flesh of a duck (domestic or wild),,[]
5,3,duck,3,duck.n.04,noun.artifact,n,a heavy cotton fabric of plain weave; used for clothing and tents,,[]
6,4,duck,4,duck.v.01,verb.motion,v,to move (the head or body) quickly downwards or away,"Before he could duck, another stone struck him","Before he could duck, another stone struck him."
7,5,duck,5,duck.v.02,verb.motion,v,submerge or plunge suddenly,,When he finally did he had to duck his head quickly away as the pitch came in.
8,6,duck,6,dip.v.10,verb.motion,v,dip into a liquid,He dipped into the pool,[]
9,7,duck,7,hedge.v.01,verb.communication,v,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",He dodged the issue;she skirted the problem;They tend to evade their responsibilities;he evaded the questions skillfully,[]
10,0,bird,0,bird.n.01,noun.animal,n,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,,""" Take a ride on this one "", Brooks Robinson greeted Hansen as the Bird third sacker grabbed a bat, headed for the plate and bounced a third inning two run double off the left centerfield wall tonight."
11,1,bird,1,bird.n.02,noun.food,n,the flesh of a bird or fowl (wild or domestic) used as food,,"The wife, Amra, and her lover are both savagely portrayed, she as incarnate sensuality, "" voluptuous "" and "" indolent "", possibly "" a mischief maker "", with "" a kind of luxurious cunning "" to set against her apparent simplicity, her "" bird like brain ""."
12,2,bird,2,dame.n.01,noun.person,n,informal terms for a (young) woman,,[]
13,3,bird,3,boo.n.01,noun.communication,n,a cry or noise made to express displeasure or contempt,,[]
14,4,bird,4,shuttlecock.n.01,noun.artifact,n,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,,[]
15,5,bird,5,bird.v.01,verb.competition,v,watch and study birds in their natural habitat,,[]
16,0,eye,0,eye.n.01,noun.body,n,the organ of sight,,The size of this hot region was estimated by eye.
17,1,eye,1,eye.n.02,noun.cognition,n,good discernment (either visually or as if visually),she has an eye for fresh talent;he has an artist's eye,"But even when the police are honest, they do not trust the private eye."
18,2,eye,2,eye.n.03,noun.cognition,n,attention to what is seen,he tried to catch her eye,By the second day Michelangelo began to worry; and by the second night he was in a state of panic : he could see nothing out of the afflicted eye.
19,3,eye,3,center.n.01,noun.location,n,an area that is approximately central within some larger region,it is in the center of town;they ran forward into the heart of the struggle;they were in the eye of the storm,[]
20,4,eye,4,eye.n.05,noun.artifact,n,a small hole or loop (as in a needle),the thread wouldn't go through the eye,[]
21,5,eye,5,eye.v.01,verb.perception,v,look at,,"Gansevoort said, "" It requires an omniscient eye to select those if any on whom we can now rely."
